2024년 청출협 추천도서 - 고등학생 50선,,,,,,,
권장연령,도서명,"지은이 (글, 그림, 옮긴이)",출판사,주제어,가격,ISBN,도서소개(50자)
고등학생,청소년을 위한 박물관 에세이 ,"강선주, 김인혜, 이지희, 김미도리, 
안금희, 곽신숙, 서윤희 ",해냄 ,박물관 ,"16,800 ",9791167140784 ,"문화, 예술, 역사가 궁금한 십 대에게 들려주는 살아 있는 박물관 이야기"
고등학생,청소년을 위한 사회문제 탐구 에세이,구정화 ,해냄 ,탐구 ,"16,800 ",9791167140807 ,사회학적 호기심으로 세상을 바라보면 일상 속 모든 장면이 탐구의 주제가 된다
고등학생,청소년을 위한 심리학 에세이 ,"고영건, 김진영",해냄 ,심리학,"16,800 ",9791167140760 ,"심리학의 역사, 기본 개념부터 주요 실험 이슈까지
십 대들에게 전하는 친절한 심리학 입문서"
고등학생,킹과 잠자리,"케이슨 캘린더 글, 정회성 옮김",사계절출판사,정체성,"14,000 ",9791169811385 ,자신을 있는 그대로 사랑하고 인정하며 세상으로 나아간 어느 평범한 소년의 용기 있는 여정.
고등학생,타임라인 경제교실,태지원 지음,동녘,경제사,"17,000 ",9788972971085 ,세계사의 굵직한 경제 이슈 날짜로 배우는 경제 인문학! 
고등학생,토끼는 당근을 먹지 않는다,"위고 클레망 글, 박찬규 옮김",구름서재,동물,"14,000 ",9791189213398 ,인간에게 다른 동물들을 지배할 권리가 있을까? 우리가 감춰왔던 동물들에 관한 놀라운 진실.
고등학생,평화의 눈으로 본 세계의 무력 분쟁,정주진 글,철수와영희,난민,"17,000 ",9791188215935 ,여덟 가지의 무력 분쟁 사례로 살펴본 세계 시민의 역할
고등학생,플라스틱 다이어트,호세 루이스 가예고 지음 | 남진희 옮김,우리교육,플라스틱 재활용,"15,000 ",9791192665122 ,지구를 위해 우리가 쉽게 실천할 수 있는 플라스틱 다이어트 방법 50가지
고등학생,필사의 수컷 도도한 암컷,"다지마 유코 지음, 명다인 옮김",플루토,성선택 진화론,"18,500 ",9791188569588 ,이성에게 선택된 개체만이 살아남는다! 찰스 다윈의 또 다른 진화이론인 성선택론 이야기
고등학생,하라의 세계가 열리면,이은용 글,사계절출판사,진로,"13,000 ",9791169811781 ,"입시, 진로, 성공에 얽매이지 않고 자신의 방향과 힘을 찾는 청소년을 그린다."
고등학생,학교 폭력에 관한 모든 질문,"에마뉘엘 피케 글, 장한라 옮긴이",주니어태학,"학교 폭력, 학교","18,500 ",9791168102552 ,"프랑스 최고의 학교 폭력 전문가가 엄선한
학교 폭력에 관한 101가지 질문과 해법"
고등학생,한 권으로 읽는 과학 노벨상,"가키모치 글, 정한뉘 옮긴이",주니어태학,"과학, 노벨상","16,800 ",9791168102392 ,"현재의 첨단 과학뿐 아니라
과거와 미래의 과학까지 생각해보는 책"
고등학생,화학 혁명,"사이토 가쓰히로 글, 김정환 옮김, 김경숙 감수",그린북,과학,"17,000 ",9788955884623 ,"세상을 움직이고, 세상을 바꾼 화학의 혁신적인 발견들"
